Month,Day,Temperature (°F)_max,Temperature (°F)_avg,Temperature (°F)_min,Dew Point (°F)_max,Dew Point (°F)_avg,Dew Point (°F)_min,Humidity (%)_max,Humidity (%)_avg,Humidity (%)_min,Wind Speed (mph)_max,Wind Speed (mph)_avg,Wind Speed (mph)_min,Pressure (in)_max,Pressure (in)_avg,Pressure (in)_min
Nov,1,84,75.1,66,68,65.3,61,88,72.8,54,6,1.3,0,29.4,29.3,29.2
Nov,2,84,75.7,68,70,66.3,63,88,73.6,58,6,1.3,0,29.3,29.2,29.2
Nov,3,84,74.9,66,66,63.7,61,88,69.6,45,5,0.7,0,29.2,29.1,29.1
Nov,4,84,74.4,64,64,63.1,61,88,68.8,48,8,1.1,0,29.2,29.2,29.1
Nov,5,82,73.2,64,64,62.3,59,88,69.5,51,9,1.6,0,29.2,29.2,29.2
Nov,6,82,72.9,63,64,60.0,52,88,65.7,45,0,0.0,0,29.3,29.2,29.2
Nov,7,81,72.7,63,64,62.1,57,88,69.9,54,6,0.7,0,29.3,29.2,29.2
Nov,8,81,72.3,63,66,62.3,57,88,71.5,51,5,0.3,0,29.2,28.6,0.0
Nov,9,81,71.9,63,64,61.8,57,88,71.1,54,7,1.1,0,29.2,29.2,29.2
Nov,10,68,63.0,59,63,58.3,55,94,85.0,73,21,10.8,0,29.4,29.3,29.2
Nov,11,75,65.7,57,57,54.1,52,88,67.7,44,16,5.3,0,29.4,29.3,29.3
Nov,12,77,67.6,57,57,55.4,54,88,66.8,44,12,2.4,0,29.4,29.3,29.3
Nov,13,79,68.2,57,61,55.6,52,88,66.5,39,5,0.9,0,29.4,29.3,29.3
Nov,14,79,68.4,57,63,57.6,54,88,69.8,47,7,1.9,0,29.4,29.3,29.3
Nov,15,81,68.2,57,57,55.2,52,88,65.9,39,7,0.8,0,29.4,29.3,29.2
Nov,16,79,67.5,57,57,54.8,52,82,65.5,42,7,0.8,0,29.4,29.3,29.3
Nov,17,79,68.5,57,57,53.8,48,88,62.5,34,9,2.3,0,29.4,29.3,29.3
Nov,18,81,68.1,57,57,53.0,46,88,62.2,30,9,1.5,0,29.3,29.3,29.2
Nov,19,81,67.8,57,59,55.0,52,88,66.3,42,8,1.5,0,29.4,28.7,0.0
Nov,20,77,65.9,55,57,53.5,50,88,66.5,41,12,1.9,0,29.4,28.7,0.0
Nov,21,77,64.0,0,54,49.7,0,82,59.9,0,12,2.5,0,29.4,28.1,0.0
Nov,22,79,65.4,54,54,51.6,50,88,63.1,36,12,2.3,0,29.2,29.2,29.2
Nov,23,75,63.0,0,57,52.9,0,88,69.3,0,6,0.7,0,29.2,28.6,0.0
Nov,24,75,64.4,54,57,53.7,50,88,69.8,47,9,2.1,0,29.4,29.3,29.2
Nov,25,73,63.0,54,54,52.2,48,88,69.2,44,8,1.0,0,29.3,29.3,29.2
Nov,26,73,63.1,54,55,53.1,50,88,70.8,47,9,1.3,0,29.4,29.3,29.2
Nov,27,70,62.7,55,55,54.3,52,88,74.4,60,12,2.3,0,29.3,29.3,29.2
Nov,28,75,64.6,55,61,57.0,52,88,76.9,57,9,1.5,0,29.3,29.2,29.2
Nov,29,77,67.0,57,59,55.8,54,88,69.4,44,5,1.2,0,29.3,29.2,29.2
Nov,30,70,63.4,59,61,56.6,55,88,79.6,68,14,6.4,0,29.4,28.7,0.0
